Apple,Iphone 11 64GB
Huawei,Y6 2019 32GB
Xiaomi,Redmi Note 9 128GB
Reeder,Reeder P13 Blue
Samsung,Galaxy A51 128GB
Apple,Iphone SE 2020 64GB
Xiaomi,Redmi Note 9 128GB
Samsung,Galaxy A10 32GB
Apple,IPhone 7 32 GB
Huawei,P40 lite 128GB
General Mobile,General Mobile GM 10 64GB
Samsung,Galaxy Note20 256GB
Samsung,Galaxy M31 128GB
Samsung,Galaxy A10 32GB
Huawei,P20 Lite 64 GB
Samsung,Galaxy A21s 64GB
Oppo,Oppo A72 128GB
Apple,IPhone XR 64GB
Oppo,Oppo A91 128GB
Apple,IPhone XS 64 GB
General Mobile,General Mobile GM 9 Pro 64 GB
Oppo,Oppo A5 2020 64GB
Vestel,Vestel Venus E5 32GB
Vestel,Vestel Venus Z40 128GB